epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,405.428,1.19018,1.14041,0.00931,0.76844,0.56172,0.63375,0.44708,1.1282,1.3972,0.01436,0.000742625,0.000742625,0.000742625
43,414.641,1.16762,1.10099,0.00941,0.71663,0.60904,0.66683,0.469,1.15381,1.34253,0.01468,0.00073025,0.00073025,0.00073025
44,423.437,1.118,1.07469,0.00877,0.6568,0.60575,0.61457,0.42026,1.15888,1.39565,0.01466,0.000717875,0.000717875,0.000717875
45,432.291,1.07972,1.04723,0.00892,0.72914,0.5931,0.61899,0.43546,1.12451,1.40703,0.01402,0.0007055,0.0007055,0.0007055
46,441.3,1.09583,1.02369,0.00872,0.72624,0.60687,0.64533,0.45424,1.16709,1.35398,0.01497,0.000693125,0.000693125,0.000693125
47,450.295,1.09134,1.01524,0.00918,0.70383,0.62744,0.65655,0.45699,1.16804,1.34065,0.01533,0.00068075,0.00068075,0.00068075
48,459.153,1.0977,1.01511,0.0092,0.79582,0.55246,0.64129,0.44974,1.18138,1.38615,0.01519,0.000668375,0.000668375,0.000668375
49,467.798,1.07062,1.05847,0.00924,0.74634,0.59991,0.66244,0.47113,1.15873,1.39181,0.01428,0.000656,0.000656,0.000656
50,476.645,1.083,0.96439,0.00874,0.65598,0.63838,0.64043,0.46123,1.14156,1.31506,0.01399,0.000643625,0.000643625,0.000643625
51,485.447,1.0476,1.00633,0.0091,0.73274,0.63407,0.67352,0.48036,1.13413,1.33799,0.0148,0.00063125,0.00063125,0.00063125
52,494.361,1.02979,0.95562,0.00852,0.68624,0.58904,0.63666,0.46842,1.10771,1.2657,0.01353,0.000618875,0.000618875,0.000618875
53,503.411,1.04244,0.975,0.00855,0.76198,0.62119,0.66485,0.45914,1.16319,1.3711,0.01489,0.0006065,0.0006065,0.0006065
54,512.336,1.06129,1.01164,0.00882,0.72055,0.68825,0.69593,0.50955,1.14762,1.27606,0.015,0.000594125,0.000594125,0.000594125
55,521.167,1.08548,0.98331,0.00811,0.67609,0.66385,0.66586,0.47723,1.12034,1.29816,0.01385,0.00058175,0.00058175,0.00058175
56,530.005,1.10627,0.95064,0.00758,0.7131,0.62733,0.66941,0.48515,1.11764,1.35851,0.01374,0.000569375,0.000569375,0.000569375
57,538.701,0.9941,0.91353,0.00858,0.70583,0.618,0.64028,0.46289,1.10429,1.36398,0.01302,0.000557,0.000557,0.000557
58,547.489,1.04537,0.9115,0.00782,0.69441,0.67207,0.67658,0.49096,1.12244,1.29698,0.0137,0.000544625,0.000544625,0.000544625
59,556.485,1.07316,0.9519,0.00741,0.6953,0.63958,0.66324,0.48221,1.09557,1.32143,0.01301,0.00053225,0.00053225,0.00053225
60,565.279,1.04351,0.92925,0.00833,0.75257,0.65144,0.68941,0.50187,1.09397,1.29345,0.0133,0.000519875,0.000519875,0.000519875
61,573.99,0.97178,0.8826,0.00781,0.68203,0.63617,0.66766,0.48683,1.11993,1.28912,0.01382,0.0005075,0.0005075,0.0005075
62,582.923,1.01527,0.92192,0.00828,0.77818,0.6292,0.69001,0.5075,1.13076,1.30394,0.01396,0.000495125,0.000495125,0.000495125
63,591.958,1.04062,0.88829,0.00708,0.73202,0.63541,0.69279,0.49758,1.08395,1.34821,0.01343,0.00048275,0.00048275,0.00048275
64,600.822,0.99571,0.84634,0.00763,0.78166,0.60663,0.69959,0.50232,1.10781,1.33578,0.01367,0.000470375,0.000470375,0.000470375
65,609.574,1.01832,0.88973,0.00745,0.6865,0.63571,0.67691,0.48996,1.08717,1.23982,0.01265,0.000458,0.000458,0.000458
66,618.692,0.99643,0.86315,0.00767,0.80507,0.61611,0.68418,0.49991,1.09482,1.31051,0.01332,0.000445625,0.000445625,0.000445625
67,627.54,0.98859,0.83623,0.00765,0.76724,0.67274,0.71043,0.51514,1.06795,1.28962,0.01276,0.00043325,0.00043325,0.00043325
68,636.435,0.92978,0.83779,0.00724,0.69357,0.68091,0.69778,0.50952,1.08963,1.31438,0.0132,0.000420875,0.000420875,0.000420875
69,645.328,1.0042,0.86364,0.00737,0.72326,0.64721,0.67212,0.49607,1.08609,1.28262,0.01244,0.0004085,0.0004085,0.0004085
70,654.015,0.97599,0.84534,0.00727,0.66251,0.68232,0.66534,0.49973,1.11573,1.28832,0.01325,0.000396125,0.000396125,0.000396125
71,662.8,0.92033,0.82068,0.00743,0.71857,0.63586,0.68854,0.52088,1.05291,1.28523,0.01198,0.00038375,0.00038375,0.00038375
72,671.649,0.968,0.81557,0.0066,0.77142,0.62328,0.68688,0.51364,1.08421,1.25777,0.01283,0.000371375,0.000371375,0.000371375
73,680.757,0.95927,0.82358,0.00726,0.72809,0.66247,0.67289,0.5035,1.08762,1.26853,0.01261,0.000359,0.000359,0.000359
74,689.62,0.86659,0.76164,0.00721,0.72229,0.67879,0.6882,0.52005,1.07314,1.25757,0.01206,0.000346625,0.000346625,0.000346625
75,698.66,0.92209,0.80307,0.00737,0.75675,0.66706,0.6804,0.50837,1.08245,1.29352,0.01291,0.00033425,0.00033425,0.00033425
76,707.355,0.95594,0.77725,0.00713,0.77473,0.62694,0.67511,0.50495,1.05344,1.32196,0.01194,0.000321875,0.000321875,0.000321875
77,716.2,0.97086,0.79423,0.00657,0.7175,0.65753,0.69175,0.51008,1.07571,1.34646,0.01247,0.0003095,0.0003095,0.0003095
78,725.002,0.90809,0.76109,0.00652,0.78454,0.6147,0.69383,0.51673,1.07945,1.28167,0.01273,0.000297125,0.000297125,0.000297125
79,733.861,0.86777,0.73563,0.00701,0.76005,0.64643,0.68889,0.51297,1.04918,1.30039,0.01216,0.00028475,0.00028475,0.00028475
80,742.863,0.88968,0.7361,0.00682,0.77002,0.63904,0.69453,0.51378,1.08443,1.30497,0.01278,0.000272375,0.000272375,0.000272375
81,751.402,0.9014,0.71106,0.00691,0.72939,0.67675,0.67696,0.50338,1.07556,1.28251,0.01266,0.00026,0.00026,0.00026
82,760.276,0.9242,0.73361,0.00642,0.72209,0.65872,0.67831,0.50737,1.05729,1.27791,0.01222,0.000247625,0.000247625,0.000247625
83,768.925,0.91463,0.7247,0.00656,0.72461,0.66512,0.68381,0.51183,1.04557,1.28654,0.01178,0.00023525,0.00023525,0.00023525
84,777.775,0.90878,0.7704,0.00697,0.71688,0.67605,0.68385,0.50607,1.03969,1.2772,0.01205,0.000222875,0.000222875,0.000222875
85,786.507,0.97585,0.74026,0.0057,0.74321,0.6944,0.69585,0.50904,1.04402,1.31488,0.0119,0.0002105,0.0002105,0.0002105
86,795.324,0.91131,0.75911,0.00641,0.71026,0.67684,0.68423,0.51163,1.05162,1.30528,0.01208,0.000198125,0.000198125,0.000198125
87,804.159,0.90263,0.71671,0.00618,0.74234,0.64239,0.68171,0.51184,1.04786,1.30046,0.01186,0.00018575,0.00018575,0.00018575
88,813.006,0.82614,0.67815,0.00678,0.73569,0.64044,0.68237,0.5165,1.03483,1.30798,0.0119,0.000173375,0.000173375,0.000173375
89,821.76,0.95887,0.75888,0.00657,0.7094,0.70271,0.69083,0.51414,1.02478,1.29252,0.01155,0.000161,0.000161,0.000161
90,830.511,0.90481,0.73776,0.00623,0.74469,0.66795,0.692,0.51649,1.02639,1.30739,0.01163,0.000148625,0.000148625,0.000148625
91,841.133,0.91106,0.69414,0.00761,0.74692,0.64475,0.67866,0.50473,1.05847,1.31874,0.01217,0.00013625,0.00013625,0.00013625
